id	dpa	growth_stage
s_1_1	7	GR1
s_1_2	8	GR1
s_1_3	8	GR1
s_2_1	15	GR2
s_2_2	15	GR2
s_2_3	15	GR2
s_3_1	21	GR3
s_3_2	22	GR3
s_3_3	22	GR3
s_4_1	27	GR4
s_4_2	28	GR4
s_4_3	29	GR4
s_5_1	34	GR5
s_5_2	34	GR5
s_5_3	35	GR5
s_6_1	40	GR6
s_6_2	42	GR6
s_6_3	42	GR6
s_7_1	49	GR7
s_7_2	48	GR7
s_7_3		GR7
s_8_1	50	GR8
s_8_2	50	GR8
s_8_3	51	GR8
s_9_1	54	GR9
s_9_2	53	GR9
s_9_3	52	GR9
