"","Domain","Phylum","Class","Order","Family","Genus"
"AB189348.1.1514","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Kangiella"
"EF207559.1.1335","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicola"
"EF572324.1.1449","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1",""
"JQ013486.1.1524","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter"
"KC012896.1.1336","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodovulum"
"FJ264579.1.1506","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured"
"HE804152.1.1386","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"JQ612377.1.1466","Bacteria","Chloroflexi","SAR202 clade","","",""
"EU777053.1.1333","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"FJ716886.1.1460","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured"
"JX223209.1.1365","Bacteria","Firmicutes","Clostridia","Clostridiales","Family XII Incertae Sedis","uncultured"
"CU923634.1.1345","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","uncultured"
"HQ672405.1.1502","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)",""
"EU731492.1.1000","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)","Candidatus Parvarchaeum"
"GU451537.1.1253","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","0319-6G20",""
"GQ472935.1.1220","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"GU572365.1.1497","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Crenotrichaceae","Crenothrix"
"AY664284.1.1258","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas"
"EU802926.1.1368","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","",""
"AJ536844.1.1392","Bacteria","Cyanobacteria","ML635J-21","","",""
"DQ804532.1.1389","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"HQ132732.1.1413","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"DQ394926.1.1474","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Acidiferrobacter"
"KC120672.1.1497","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Salinimonas"
"CU921253.1.1307","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured"
"HQ673248.1.1512","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)",""
"EU935267.1.1542","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Idiomarinaceae","Pseudidiomarina"
"DQ395970.1.1393","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium"
"EU776973.1.1391","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium"
"FJ457238.1.1498","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas"
"GU363000.1.1406","Bacteria","Planctomycetes","Phycisphaerae","MSBL9","",""
"DQ644007.1.1450","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Stappia"
"JX426883.1.951","Archaea","Thaumarchaeota","Marine Group I","Order Incertae Sedis","Family Incertae Sedis","Candidatus Nitrosoarchaeum"
"FJ529709.1.1485","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"JN391894.1.1484","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"JN831371.1.1261","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"DQ796457.1.1387","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Incertae Sedis"
"AF390085.1.1439","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium"
"AM403218.1.1342","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Ochrobactrum"
"AY902211.1.1468","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
"JF344264.1.1506","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","uncultured"
"JN506969.1.1354","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera"
"DQ334639.1.1296","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255 marine benthic group",""
"FJ205193.1.1497","Bacteria","Proteobacteria","Deltaproteobacteria","GR-WP33-30","",""
"JF784423.1.1467","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","",""
"JX223267.1.1305","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"HM798920.1.1453","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae","uncultured"
"JX224189.1.1225","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfocapsa"
"FJ545494.1.1545","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Acidiferrobacter"
"FR670374.1.1586","Bacteria","Proteobacteria","Gammaproteobacteria","Sva0071","",""
"JN516034.1.1369","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","",""
"DQ337108.1.916","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","GOM Arc I",""
"DQ109909.1.1352","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","uncultured",""
"DQ836763.1.1383","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured"
"AF041468.40711.42197","Bacteria","Cyanobacteria","Chloroplast","","",""
"CU925954.1.1385","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","uncultured"
"JX040327.1.1483","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Cryomorphaceae","Fluviicola"
"JQ925121.1.1519","Bacteria","Proteobacteria","Gammaproteobacteria","Order Incertae Sedis","Family Incertae Sedis","Marinicella"
"JX984070.1.1230","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Maritimibacter"
"FR685258.1.1486","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS3a marine group"
"EU775002.1.1308","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","uncultured"
"GQ417262.1.1454","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Pusillimonas"
"EU801070.1.1442","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Chesapeake-Delaware Bay",""
"HQ153963.1.1436","Bacteria","Proteobacteria","Gammaproteobacteria","Sva0071","",""
"HQ224981.1.1501","Bacteria","Proteobacteria","Gammaproteobacteria","34P16","",""
"CU922234.2.1287","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter"
"JN530596.1.1423","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","Spirochaeta"
"JF237471.1.1354","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"CU915193.2.1359","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax"
"EF522129.1.1527","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria"
"HM439402.1.1318","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Azospirillum"
"EU133781.1.1258","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"GU108554.1.1400","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas"
"DQ903996.1.1373","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Simkaniaceae","uncultured"
"EU132056.1.1309","Bacteria","Acidobacteria","Acidobacteria","Subgroup 6","",""
"FN436153.1.1447","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"EF471637.1.1502","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","EV818SWSAP88",""
"JX406221.1.1461","Bacteria","Chloroflexi","S085","","",""
"EU773033.1.1392","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","uncultured"
"FJ712401.1.1414","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfocapsa"
"GQ389076.1.1479","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfuricurvum"
"HQ673403.1.1483","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Nitrospinaceae","Nitrospina"
"DQ112291.1.1339","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"JX225280.1.1436","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum"
"HM241034.1.1326","Bacteria","Acidobacteria","Acidobacteria","Subgroup 4","Family Incertae Sedis","Blastocatella"
"CU919426.2.1367","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","060F05-B-SD-P93"
