"","Domain","Phylum","Class","Order","Family","Genus"
"FR823374.1.1521","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","uncultured"
"GU566699.1.1309","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","Treponema"
"HQ449706.1.1408","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"FR853419.1.1451","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured"
"FJ745254.1.1321","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SHWN-night2",""
"HQ674088.1.1501","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","ZD0417 marine group"
"EU802831.1.1482","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade",""
"KC294094.1.1446","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"JN013945.1.1450","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","uncultured"
"EF092222.1.1365","Bacteria","Proteobacteria","Alphaproteobacteria","DB1-14","",""
"GQ182698.1.1410","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"JX223451.1.1427","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","uncultured"
"FJ152833.1.1508","Bacteria","Acidobacteria","Acidobacteria","Subgroup 6","",""
"JX222026.1.1343","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"HM596371.1.1376","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","uncultured"
"GU145453.1.1434","Bacteria","BD1-5","","","",""
"GQ441216.1.1446","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI","Lyngbya"
"EU010156.1.1488","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Balneatrix"
"JF145730.1.1376","Bacteria","Planctomycetes","vadinHA49","","",""
"EU132250.1.1357","Bacteria","Acidobacteria","Acidobacteria","Subgroup 6","",""
"JX679640.1.1481","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"JN881570.1.1353","Archaea","Thaumarchaeota","D-F10","","",""
"EF644810.1.1281","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Leisingera"
"HM187555.1.1332","Archaea","Thaumarchaeota","HDBA-SITS389","","",""
"JN626748.1.1304","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"JQ895017.1.1362","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured"
"EU776944.1.1345","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes"
"JN505485.1.1444","Bacteria","Planctomycetes","OM190","","",""
"AY592164.1.1255","Bacteria","Proteobacteria","Gammaproteobacteria","Order Incertae Sedis","Family Incertae Sedis","Arenicella"
"HQ241811.1.1424","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospira"
"FJ497530.1.1498","Bacteria","Proteobacteria","Gammaproteobacteria","Order Incertae Sedis","Family Incertae Sedis","Marinicella"
"HQ397389.1.1503","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Methylohalomonas"
"JF189339.1.1360","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
"HM185936.1.1403","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Leptospirillum"
"JN607043.1.1377","Bacteria","Acidobacteria","Acidobacteria","Subgroup 25","",""
"HM817497.1.1355","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
"U20774.1.1422","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"JQ450291.1.1417","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
